DATE,avg_water_temp,Q,prediction
10/31/2000,28,1000,7.827858984
11/30/2000,29,500,7.691368678
12/31/2000,26,420,8.113707023
1/31/2001,18,380,9.467095154
2/28/2001,20,366,9.092516968
3/31/2001,22,326,8.743799789
4/30/2001,25,325,8.263539333
5/31/2001,28,325,7.827858984
6/30/2001,29,314,7.691368678
7/31/2001,29.5,1250,7.624634229
8/31/2001,28,9700,7.827858984
9/30/2001,30,2800,7.558871636
10/31/2001,31.5,606,7.36716245
11/30/2001,28.5,550,7.759101266
12/31/2001,26,462,8.113707023
1/31/2002,24,424,8.418315489
2/28/2002,17.5,456,9.565116933
3/31/2002,21,432,8.915096734
4/30/2002,25,359,8.263539333
5/31/2002,28,287,7.827858984
6/30/2002,30,291,7.558871636
7/31/2002,30,273,7.558871636
8/31/2002,31,294,7.430160337
9/30/2002,31,2000,7.430160337
10/31/2002,31,1100,7.430160337
11/30/2002,28,453,7.827858984
12/31/2002,22,279,8.743799789
1/31/2003,18.2,530,9.428392562
2/28/2003,17.86,640,9.494357938
3/31/2003,21.69,610,8.796266536
4/30/2003,24.98,500,8.266585526
5/31/2003,28.19,450,7.801608544
6/30/2003,29.83,500,7.581123478
7/31/2003,29.5,900,7.624634229
8/31/2003,29.46,4800,7.629936876
9/30/2003,29.54,4300,7.6193378
10/31/2003,29.03,0,7.687336729
11/30/2003,26.09,0,8.100455718
12/31/2003,21.78,0,8.780976263
1/31/2004,18,440,9.467095154
2/29/2004,17,456,9.664985656
3/31/2004,22,357,8.743799789
4/30/2004,26,340,8.113707023
5/31/2004,27,294,7.968561456
6/30/2004,28.66,292,7.73731661
7/31/2004,28.36,503,7.778248915
8/31/2004,28.35,630,7.779619696
9/30/2004,28.44,4925,7.767297525
10/31/2004,27.98,1075,7.830631005
11/30/2004,25.08,628,8.251374309
12/31/2004,20.8,0,8.950080392
1/31/2005,17.06,0,9.652902236
2/28/2005,16.75,325,9.715628312
3/31/2005,20.6,0,8.985311562
4/30/2005,23.93,263,8.42934189
5/31/2005,27.23,0,7.935815035
6/30/2005,28.88,0,7.707532463
7/31/2005,28.57,0,7.749557616
8/31/2005,28.56,0,7.750919767
9/30/2005,28.62,0,7.742752982
10/31/2005,28.17,0,7.804364635
11/30/2005,25.26,0,8.224117966
12/31/2005,21,0,8.915096734
1/31/2006,17.28,0,9.60882868
2/28/2006,16.97,0,9.671037605
3/31/2006,20.8,0,8.950080392
4/30/2006,24.12,0,8.399472473
5/31/2006,27.51,0,7.896262844
6/30/2006,29.12,0,7.675262382
7/31/2006,28.78,559,7.721046466
8/31/2006,28.76,0,7.723754107
9/30/2006,28.77,4050,7.722400085
10/31/2006,28.35,0,7.779619696
11/30/2006,25.44,428,8.197019558
12/31/2006,21.2,214,8.880357951
1/31/2007,17.49,180,9.567096042
2/28/2007,17.19,225,9.626814797
3/31/2007,21.01,0,8.913354001
4/30/2007,24.31,288,8.369790078
5/31/2007,27.8,0,7.855655293
6/30/2007,29.36,0,7.643220794
7/31/2007,29,1249,7.691368678
8/31/2007,29.5,1685,7.624634229
9/30/2007,29.53,0,7.620661325
10/31/2007,29.22,0,7.66188412
11/30/2007,26.39,0,8.056556483
12/31/2007,22.21,0,8.708575191
1/31/2008,18.62,0,9.348039788
2/29/2008,18.36,0,9.397635531
3/31/2008,22.26,191,8.700225784
4/30/2008,25.7,180,8.158153177
5/31/2008,29.3,155,7.651209929
6/30/2008,30.5,323,7.494055311
7/31/2008,29.5,3250,7.624634229
8/31/2008,30.2,6918,7.532832964
9/30/2008,30.5,1706,7.494055311
10/31/2008,29.5,908,7.624634229
11/30/2008,24.66,290,8.315595232
12/31/2008,22,223,8.743799789
1/31/2009,18.83,250,9.308325257
2/28/2009,20.66,210,8.974716064
3/31/2009,25.8,180,8.143290517
4/30/2009,28,175,7.827858984
5/31/2009,29.66,140,7.6034857
6/30/2009,30.66,130,7.473509851
7/31/2009,30.66,250,7.473509851
8/31/2009,30.16,850,7.538028664
9/30/2009,29.83,907.3333333,7.581123478
10/31/2009,29.5,910.3333333,7.624634229
11/30/2009,24.16,241.3333333,8.39320807
12/31/2009,21.66,221.6666667,8.801373902
1/31/2010,16.66,204.3333333,9.733977015
2/28/2010,19.66,177,9.154294104
3/31/2010,24.66,143.3333333,8.315595232
4/30/2010,28.83,114,7.714284429
5/31/2010,31.16,96,7.409904553
6/30/2010,30.83,90,7.451782772
7/31/2010,31.33,63.33333333,7.388482558
8/31/2010,30.5,1389.333333,7.494055311
9/30/2010,30.16,4333.666667,7.538028664
10/31/2010,28.5,2867.666667,7.759101266
11/30/2010,25.16,379,8.239240783
12/31/2010,20.83,303.3333333,8.944817129
1/31/2011,16,215.6666667,9.870466894
2/28/2011,18.5,205,9.370871305
3/31/2011,22.33,216,8.688560639
4/30/2011,26.67,110,8.015956635
5/31/2011,30.33,100,7.515988251
6/30/2011,31.61,125,7.353420946
7/31/2011,31.25,4829,7.398550749
8/31/2011,30.97,10852.33333,7.433968498
9/30/2011,30.89,10769,7.444139424
10/31/2011,30.5,1025.333333,7.494055311
11/30/2011,27.64,373.3333333,7.878014837
12/31/2011,23.19,348,8.547494088
1/31/2012,19.34,349.3333333,9.213131678
2/29/2012,19.04,285,9.268914029
3/31/2012,22.79,260,8.612594125
4/30/2012,26.41,230,8.053644625
5/31/2012,29.74,160,7.592948488
6/30/2012,31,120,7.430160337
7/31/2012,31,978.3333333,7.430160337
8/31/2012,29.75,6752,7.591633066
9/30/2012,30,7668.333333,7.558871636
10/31/2012,29.25,1590.5,7.657878345
11/30/2012,29,465,7.691368678
12/31/2012,21.5,347,8.828703214
1/31/2013,17.5,455,9.565116933
2/28/2013,17,520,9.664985656
3/31/2013,23.75,600,8.457813478
4/30/2013,25,160,8.263539333
5/31/2013,26.5,120,8.040563931
6/30/2013,30.5,100,7.494055311
7/31/2013,27,3961,7.968561456
8/31/2013,28,10809,7.827858984
9/30/2013,27.25,6344.5,7.932978531
10/31/2013,27.5,1510,7.897669556
11/30/2013,25,733.5,8.263539333
12/31/2013,21.25,371,8.87171121
1/31/2014,16,330,9.870466894
2/28/2014,16.75,470,9.715628312
3/31/2014,19.75,0,9.137867898
4/30/2014,24.25,430,8.379143376
5/31/2014,27,340,7.968561456
6/30/2014,27.97,87,7.832017648
7/31/2014,27.38,59,7.914583905
8/31/2014,26.84,1728,7.991479996
9/30/2014,26.55,681,8.033312858
10/31/2014,25.95,822,8.121085247
11/30/2014,22.89,134,8.596236419
12/31/2014,18.15,104,9.438041411
1/31/2015,14,151,10.30590682
2/28/2015,13.5,153,10.42019716
3/31/2015,17,124,9.664985656
4/30/2015,18,170,9.467095154
5/31/2015,26,143,8.113707023
6/30/2015,28.96,914,7.696750201
7/31/2015,30.38,914,7.509526274
8/31/2015,31.83,914,7.32606377
9/30/2015,33.55,914,7.117758051
10/31/2015,34.96,914,6.953948115
11/30/2015,33.91,914,7.075360677
12/31/2015,31.16,914,7.409904553
